budget,runtime,year,vote_average,popularity,core_actor,actor_avg_age,month,profitable,Horror,Drama,company_freq,google_trend
5000000,86,2022,6.9,9.152,6.0,21.0,5,0,0,0,0,59
200000000,134,2021,8.027,215.907,87.0,46.0,5,1,0,0,1,53
39000000,111,2021,7.455,89.558,81.0,44.0,5,1,1,0,1,53
61000000,96,2021,7.495,84.689,89.0,36.0,5,1,1,0,1,53
200000000,143,2021,7.099,55.224,87.0,48.0,5,1,0,0,1,53
90000000,148,2021,6.238,48.123,167.0,43.0,5,1,1,1,0,54
30000000,88,2021,7.3,40.94,62.0,19.0,5,0,0,0,1,53
20000000,100,2021,6.663,34.385,79.0,33.0,5,1,0,0,1,50
20000000,113,2021,7.053,18.956,34.0,63.0,5,0,0,1,1,53
200000000,114,2021,7.622,358.268,84.0,36.0,3,1,0,0,0,50
17000000,92,2021,7.972,85.239,47.0,59.0,3,1,0,0,0,51
100000000,107,2021,7.865,83.208,42.0,37.0,3,1,0,0,1,55
45000000,93,2021,7.121,78.669,69.0,44.0,3,1,0,0,1,50
15000000,114,2021,6.824,66.132,48.0,37.0,3,0,0,1,0,55
10000000,99,2021,6.6,34.021,80.0,53.0,3,1,1,0,1,54
20000000,88,2021,4.1,27.183,104.0,51.0,3,0,0,0,0,50
85000000,99,2020,7.331,92.208,73.0,51.0,2,1,0,0,1,67
109000000,100,2020,7.565,72.024,83.0,55.0,2,1,0,1,1,60
10000000,125,2020,7.035,45.455,58.0,33.0,2,1,0,0,1,67
200000000,103,2020,7.701,44.513,80.0,44.0,2,0,0,0,1,54
15000000,95,2020,6.452,40.15,82.0,41.0,2,0,0,0,1,54
7000000,109,2020,5.818,32.55,48.0,42.0,2,1,1,0,1,67
16000000,106,2020,6.464,28.234,31.0,33.0,2,1,0,1,1,67
7000000,124,2020,7.118,25.014,34.0,25.0,2,1,1,0,1,54
10000000,86,2020,5.95,19.414,56.0,35.0,2,1,1,0,1,60
3000000,92,2020,6.6,13.071,19.0,52.0,2,1,0,0,0,60
460000000,192,2022,7.625,261.111,56.0,55.0,12,1,0,0,1,63
90000000,103,2022,8.24,202.412,73.0,51.0,12,1,0,0,1,59
78000000,189,2022,7.413,138.717,96.0,55.0,12,0,0,1,1,73
12000000,102,2022,7.114,78.794,45.0,29.0,12,1,1,0,1,79
3000000,117,2022,7.866,73.446,53.0,33.0,12,1,0,1,1,59
50000000,126,2022,7.762,46.888,107.0,48.0,12,1,0,1,1,79
17000000,93,2022,6.806,26.256,67.0,54.0,12,1,0,0,0,63
4000000,90,2022,5.733,21.975,64.0,37.0,12,0,0,1,1,79
50000000,144,2022,7.04,21.954,52.0,40.0,12,1,0,1,0,73
13500000,115,2022,6.675,17.455,50.0,46.0,12,0,0,1,1,59
30000000,128,2021,6.3,38.261,95.0,54.0,1,0,0,1,1,54
23000000,108,2021,6.862,36.728,131.0,50.0,1,1,0,1,1,50
5000000,108,2021,7.218,26.986,53.0,47.0,1,1,0,1,0,54
16000000,107,2021,5.6,18.31,63.0,36.0,1,0,0,1,0,50
2000000,92,2021,5.9,17.876,68.0,16.0,1,0,0,1,0,51
185000000,177,2022,7.685,186.539,66.0,43.0,3,1,0,0,1,57
175000000,100,2022,7.395,177.943,53.0,23.0,3,0,0,0,1,61
1000000,106,2022,6.725,171.279,158.0,29.0,3,1,1,0,1,62
75000000,105,2022,6.05,153.841,52.0,41.0,3,1,0,0,1,63
110000000,123,2022,7.519,132.917,73.0,51.0,3,1,0,0,1,63
25000000,140,2022,7.796,113.957,78.0,53.0,3,1,0,0,1,60
80000000,100,2022,7.575,65.93,50.0,50.0,3,1,0,0,1,62
74000000,112,2022,6.5,59.163,82.0,45.0,3,1,0,0,1,60
3000000,83,2022,5.4,42.161,71.0,46.0,3,0,1,1,1,62
40000000,136,2022,6.665,41.676,100.0,38.0,3,1,0,0,1,62
4749917,97,2022,5.8,23.339,49.0,50.0,3,0,0,1,1,60
165000000,147,2022,6.718,119.551,57.0,48.0,6,1,0,0,1,64
85000000,87,2022,7.341,89.579,54.0,69.0,6,1,0,0,1,72
85000000,159,2022,7.545,66.977,107.0,41.0,6,1,0,1,1,72
17000000,103,2022,7.636,58.792,61.0,28.0,6,1,1,1,1,72
200000000,105,2022,7.004,41.077,65.0,40.0,6,1,0,0,1,67
5000000,96,2022,6.509,33.83,33.0,38.0,6,0,1,0,0,64
250000,84,2022,6.963,17.514,11.0,23.0,6,1,1,0,0,67
1200000,90,2022,6.341,11.991,16.0,31.0,6,0,0,1,1,67
90000000,170,2023,7.7,197.782,122.0,40.0,3,1,0,0,0,64
