budget,runtime,year,vote_average,popularity,core_actor,actor_avg_age,month,profitable,Drama,Horror,company_freq,google_trend
-0.4548,0.6215,0.283,0.9966,-0.2238,-0.8636,-1.0819,0.0061,1,1.3145,-0.4822,-1.3213,0.387
2.1389,0.4282,0.283,0.2912,-0.2571,1.1284,-0.0687,0.0061,0,-0.7589,-0.4822,-1.3213,0.387
0.5178,-0.3931,0.283,0.6905,-0.2645,0.3601,0.2931,0.0061,1,-0.7589,-0.4822,0.755,0.2854
0.1936,0.8147,0.283,0.0979,-0.3535,-0.3229,-0.72,0.0061,1,-0.7589,2.069,0.755,0.7931
-0.1453,-0.9245,0.283,-0.132,-0.5482,0.7016,1.1615,0.0061,0,-0.7589,-0.4822,0.755,0.387
2.1389,1.3944,0.283,-0.132,0.2476,0.0755,0.0036,-0.8465,1,-0.7589,-0.4822,0.755,-0.4254
0.3705,1.1529,0.283,0.3843,0.18,1.1569,0.872,-0.8465,0,-0.7589,-0.4822,0.755,-0.4254
-0.3664,0.0417,0.283,0.0091,-0.2016,1.1,0.872,-0.8465,0,-0.7589,-0.4822,0.755,-0.73
-0.3664,-0.2965,0.283,-0.0361,-0.3272,2.6082,0.7273,-0.8465,0,-0.7589,-0.4822,-1.3213,-0.4254
-0.7495,0.5248,0.283,0.5155,-0.4324,1.2138,1.7404,-0.8465,1,1.3145,-0.4822,-1.3213,-0.1207
-0.219,0.5731,0.283,0.5565,-0.5023,-0.3229,1.3062,-0.8465,1,1.3145,-0.4822,0.755,-0.73
-0.7642,-0.8279,0.283,-1.966,-0.5598,0.1324,-0.2858,-0.8465,0,-0.7589,-0.4822,-1.3213,-0.1207
-0.4842,-1.2627,0.283,-2.0634,-0.5796,1.1569,0.7997,-0.8465,0,-0.7589,-0.4822,-1.3213,-0.73
-0.7698,-0.1998,0.283,-1.4017,-0.6447,-0.6644,0.7997,-0.8465,0,-0.7589,2.069,-1.3213,-0.4254
0.6652,3.2785,1.193,1.8544,4.7978,0.9861,0.4378,0.0061,1,1.3145,-0.4822,0.755,3.4332
1.3284,0.0417,1.193,0.4041,2.8906,0.9292,-0.2135,0.0061,1,-0.7589,-0.4822,0.755,3.4332
3.4799,2.4573,1.193,1.07,1.2015,0.73,1.0168,0.0061,1,-0.7589,-0.4822,0.755,1.8085
-0.7421,-0.8762,1.193,0.5409,0.8602,-1.5466,-2.9634,0.0061,1,-0.7589,2.069,-1.3213,3.7378
-0.5948,0.863,1.193,1.7486,0.4718,0.3032,1.0891,0.0061,1,1.3145,-0.4822,-1.3213,1.8085
0.2968,-0.6346,1.193,0.6665,0.3046,-1.3758,-1.6608,0.0061,1,-0.7589,-0.4822,0.755,2.0116
-0.5727,-0.2965,1.193,-0.132,-0.0454,0.5024,-0.2135,0.0061,1,-0.7589,2.069,0.755,1.8085
1.517,0.4765,1.193,-0.3577,-0.1932,0.0186,0.1484,0.0061,0,-0.7589,2.069,0.755,3.7378
-0.7348,-0.9728,1.193,-0.1687,-0.5728,-1.1482,-0.8648,0.0061,0,-0.7589,-0.4822,-1.3213,1.9101
2.1389,0.5731,1.193,-0.6216,0.204,0.2178,1.3062,-1.4149,1,-0.7589,-0.4822,0.755,-0.0192
-0.3295,-0.8762,1.193,-0.9827,-0.029,-0.2091,-0.2135,-1.4149,1,-0.7589,-0.4822,0.755,-0.0192
-0.5137,-0.6346,1.193,-0.6822,-0.236,-0.5506,0.2207,-1.4149,1,-0.7589,2.069,0.755,0.0824
-0.7348,0.2833,1.193,0.5677,-0.374,-0.8636,0.076,-1.4149,0,1.3145,-0.4822,-1.3213,-0.0192
-0.5137,-0.1998,1.193,-1.4116,-0.4293,1.1,1.6681,-1.4149,0,-0.7589,-0.4822,-1.3213,-0.0192
-0.1453,-0.0549,1.193,-0.1306,-0.4876,0.047,0.9444,-1.4149,1,1.3145,-0.4822,0.755,-0.4254
-0.3958,-0.7312,1.193,-0.4142,-0.5389,-0.6644,3.3325,-1.4149,1,1.3145,-0.4822,0.755,0.0824
-0.5874,0.3316,1.193,-0.132,-0.5891,-1.0059,0.1484,-1.4149,1,1.3145,-0.4822,0.755,-0.0192
-0.4548,0.0417,0.283,-0.1687,0.2938,-0.3798,0.872,-1.6991,1,-0.7589,2.069,0.755,-0.1207
0.2968,0.4282,0.283,-0.9785,-0.2186,0.6162,0.3655,-1.6991,0,-0.7589,-0.4822,0.755,0.2854
-0.3664,1.0079,0.283,1.4989,-0.2511,-0.579,-1.1542,-1.6991,0,1.3145,-0.4822,-1.3213,-0.5269
-0.72,-0.7312,0.283,-1.4017,-0.3933,-1.6035,-0.2858,-1.6991,0,-0.7589,2.069,-1.3213,0.2854
-0.6832,-1.166,0.283,-2.6714,-0.4653,-0.6359,1.3062,-1.6991,0,-0.7589,2.069,-1.3213,-0.5269
-0.7127,-0.7796,0.283,-0.8374,-0.5236,0.2462,0.5102,-1.6991,0,-0.7589,-0.4822,-1.3213,-0.1207
-0.2116,-0.9245,0.283,0.4323,-0.5961,0.2462,1.2339,-1.6991,0,-0.7589,-0.4822,0.755,-0.5269
-0.0716,0.0417,1.193,-0.4142,-0.0184,3.2627,0.7997,-1.6991,0,-0.7589,-0.4822,0.755,0.5901
-0.44,-0.2965,1.193,0.2912,-0.0536,-0.0099,0.9444,-1.6991,1,-0.7589,-0.4822,-1.3213,0.387
-0.7421,0.235,1.193,-0.9785,-0.278,-0.3798,-0.2858,-1.6991,1,-0.7589,2.069,-1.3213,0.0824
-0.7053,-0.1032,1.193,0.9543,-0.4275,-0.8067,-0.3582,-1.6991,1,1.3145,-0.4822,0.755,0.6916
-0.6979,-0.8762,1.193,-1.7615,-0.4937,0.3316,2.4641,-1.6991,0,1.3145,-0.4822,-1.3213,0.0824
-0.6611,0.09,1.193,-2.8125,-0.6229,-1.7458,-2.9634,-1.6991,0,-0.7589,-0.4822,-1.3213,0.0824
-0.779,-1.0211,1.193,-2.0323,-0.6314,1.1569,-0.0687,-1.6991,0,-0.7589,-0.4822,-1.3213,0.6916
0.6652,-0.4897,1.193,-0.6963,1.2669,3.2627,0.4378,0.5745,0,-0.7589,-0.4822,0.755,-0.0192
