budget,runtime,year,release_date,genres,vote_average,popularity,core_actor,actor_avg_age,production_companies,month,profitable,Romance,Science Fiction,Action,Drama,Thriller,Adventure,Mystery,Fantasy,Comedy,Family,Crime,Music,Documentary,History,Horror,Animation,Western,War
45000000.0,119.0,2023.0,2023/8/9,"['Thriller', 'Horror']",6.946,84.767,43.0,42.0,"[11317, 7, 205662, 7294, 264, 206581]",8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11300000.0,91.0,2023.0,2023/8/25,['Comedy'],6.725,43.36,26.0,27.0,"[12365, 41]",8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350000.0,93.0,2023.0,2023/8/30,"['Horror', 'Comedy', 'Thriller']",4.407,31.932,11.0,9.0,"[185040, 46089, 90745, 89748]",8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3000000.0,92.0,2023.0,2023/8/25,"['Comedy', 'Drama']",6.2,12.218,24.0,29.0,"[48745, 117706, 191442]",8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40000000.0,119.0,2021.0,2021/4/22,"['Action', 'Crime', 'Thriller']",7.6,158.674,178.0,53.0,"[14, 2900, 175813, 21]",4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000000.0,110.0,2021.0,2021/4/7,"['Action', 'Fantasy', 'Adventure']",7.052,78.392,27.0,39.0,"[76907, 8000, 12]",4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000000.0,108.0,2021.0,2021/4/8,"['Science Fiction', 'Thriller']",5.984,32.459,65.0,32.0,"[148185, 3528]",4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250000.0,78.0,2021.0,2021/4/2,"['Comedy', 'Drama']",7.207,15.799,35.0,31.0,"[123193, 152014, 152015, 152012, 117621, 121140]",4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6750000.0,112.0,2021.0,2021/4/2,"['Drama', 'History']",5.4,5.941,44.0,63.0,"[111792, 111793]",4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20000000.0,101.0,2021.0,2021/4/8,"['Mystery', 'Science Fiction', 'Thriller']",4.4,4.969,10.0,35.0,[148795],4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000000.0,134.0,2021.0,2021/7/7,"['Action', 'Adventure', 'Science Fiction']",7.26,111.752,149.0,38.0,[420],7.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185000000.0,132.0,2021.0,2021/7/28,"['Action', 'Comedy', 'Adventure']",7.529,105.563,96.0,43.0,"[128064, 507, 11565, 174]",7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150000000.0,115.0,2021.0,2021/7/8,"['Family', 'Animation', 'Comedy', 'Science Fiction']",6.8,64.57,50.0,39.0,"[25120, 81170, 148495, 174]",7.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000000.0,127.0,2021.0,2021/7/28,"['Action', 'Adventure', 'Fantasy']",7.388,61.402,89.0,46.0,"[2, 73669, 1302, 34081, 47586]",7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18000000.0,108.0,2021.0,2021/7/21,"['Thriller', 'Mystery', 'Horror']",6.362,49.977,43.0,47.0,"[33, 10338, 12236]",7.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000000.0,139.0,2021.0,2021/7/29,"['Drama', 'Crime', 'Thriller']",6.643,41.071,98.0,42.0,"[6735, 7, 154740, 10039, 123420, 38399]",7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
30000000.0,114.0,2021.0,2021/7/14,"['Action', 'Crime', 'Thriller']",6.35,35.517,79.0,46.0,"[264, 104, 10611, 99132, 47729, 106689]",7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15000000.0,88.0,2021.0,2021/7/1,"['Horror', 'Thriller', 'Mystery']",6.567,32.648,36.0,33.0,"[333, 5, 41032]",7.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15000000.0,130.0,2021.0,2021/7/29,"['Adventure', 'Drama', 'Fantasy']",6.593,30.039,51.0,39.0,"[41077, 13240, 14634, 114130, 129815, 53152]",7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15000000.0,99.0,2021.0,2021/7/23,"['Crime', 'Mystery', 'Thriller', 'Action']",5.996,22.173,104.0,48.0,"[125066, 121204, 10405, 1632, 85562, 37765]",7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000000.0,124.0,2021.0,2021/7/15,"['Drama', 'Fantasy']",6.8,19.367,52.0,34.0,"[119377, 551, 212771, 79426, 103292, 168256, 161257, 104363, 113637, 90790]",7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2500000.0,80.0,2021.0,2021/7/30,['Thriller'],5.7,13.706,25.0,47.0,"[155183, 12142, 118155]",7.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4000000.0,92.0,2021.0,2021/7/1,"['Action', 'Comedy', 'Romance']",5.5,12.695,92.0,37.0,"[144803, 76629, 1632]",7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67000000.0,94.0,2020.0,2020/4/2,"['Science Fiction', 'Horror', 'Action', 'Mystery', 'Adventure']",6.1,69.91,58.0,28.0,"[127928, 28788, 5219, 7505]",4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
