id,budget,revenue,runtime,vote_average,vote_count,year,month,genres,overview
661791.0,3749231.0,1817696.0,101.0,5.858,420.0,2022,1,"['Drama', 'Horror']","Susana leaves her life in Paris, where she works as a model, and returns to Madrid to take care of her grandmother Pilar."
958006.0,50000000.0,476375.0,98.0,6.195,131.0,2023,9,"['Thriller', 'Comedy', 'Crime']","A hitman, his boss, an art dealer and a money-laundering scheme that accidentally turns the assassin into an overnight avant-garde sensation, one that forces her to play the art world against the underworld."
1189532.0,600000.0,1997639.0,116.0,6.538,13.0,2023,10,['Comedy'],"Mircea hates weddings. And everyone knows that until he makes a controversial post on Facebook that goes viral. Because he has to return a huge amount of money due to wrong decisions, the only solution for him remains his own wedding."
1168032.0,100.0,100.0,409.0,10.0,1.0,2023,3,['Documentary'],An introspecitve deep dive into one mans triumphant arc playing a video game.
517302.0,3896000.0,508000.0,91.0,6.261,370.0,2022,3,"['Horror', 'Fantasy', 'Drama']","12 year old Tinja is desperate to please her mother, a woman obsessed with presenting the image of a perfect family. One night, Tinja finds a strange egg. What hatches is beyond belief."
813208.0,1273890.0,657371.0,104.0,5.0,2.0,2021,4,"['Comedy', 'Romance']","Story follows Guy and Heidi five years into their relationship and faced with a serious dilemma: Whether or not it is time to marry and form a family. They're equally in love, and their relationship is going strong. But while Heidi is ready to settle down and believes that marriage is proof of one’s everlasting love, Guy holds the belief that marrying Heidi will result in him being tied down to a woman that he will one day grow distant from. Heidi consults her girlfriends for advice, and Guy consults the guys. What follows is an outright battle of the sexes, as Heidi plots devious ways of getting pregnant—with marriage as an end goal—as quickly as possible, and Guy schemes up a handful of contraceptive counter-strategies."
1068452.0,7819000.0,9184966.0,155.0,7.56,25.0,2023,12,"['Drama', 'Family', 'Romance']",A single father begins to narrate the story of the missing mother to his child and nothing remains the same.
601796.0,24500000.0,12600000.0,142.0,7.2,208.0,2022,7,"['Science Fiction', 'Action', 'Fantasy', 'Adventure']","In the year 2022, a Robot Guard manages alien prisoners trapped inside human brains. Raising the young girl Ean on Earth, he lives in the guise of a human being. One day, when an alien prisoner escapes, the entire planet is thrown into jeopardy and Guard goes back to the past with Ean to trap the alien there. Meanwhile 630 years earlier during the Goryeo Dynasty, an older Ean is known as ""The Girl Who Shoots Thunder"". While Ean is trying to retrieve the Divine Blade, the key to traveling through time, Muruk, a hapless dosa (Korean tao magician), is aiming to claim the enormous bounty placed on it."
763118.0,22000000.0,1700000.0,133.0,1.5,2.0,2023,10,"['Action', 'Thriller']","In a dystopian future, Ganapath, a relentless and skilled vigilante, embarks on a mission to dismantle a powerful criminal empire that has gripped the city in fear. Ganapath becomes a symbol of hope for the oppressed in which leads dark."
748618.0,15000000.0,74441.0,141.0,6.344,16.0,2021,12,"['History', 'Drama', 'Action']","Two stories separated by 1400 years. After losing his mother in the midst of a war-torn country, an Iraqi child learns the importance and power of patience by discovering the historical story of Lady Fatima and her suffering."
603206.0,20000000.0,6435260.0,113.0,7.045,112.0,2021,5,"['Comedy', 'Drama']","The inspiring true story of Dream Alliance, an unlikely race horse bred by small town bartender, Jan Vokes. With very little money and no experience, Jan convinces her neighbors to chip in their meager earnings to help raise Dream and compete with the racing elites. Their investment pays off as Dream rises through the ranks and becomes a beacon of hope in their struggling community."
809717.0,2000000.0,6666618.0,81.0,6.4,86.0,2021,6,"['Animation', 'Adventure', 'Comedy']","When Peter sets out on a magical journey to rescue his little sister Anne, he needs to travel to mysterious territory: the Moon! Anne was kidnapped by the evil Moon Man when she tried to help the beetle Mr. Zoomzeman in search for his wife. On his fantastic adventure, Peter lands on the Star Meadow where he meets the sleepy Mr. Sandman. He knows, only at the Night Fairy’s dinner in the castle in the clouds, they can find out where Anne is – but there aren’t enough seats for everyone. So they join the wild race along the Milky Way against the five Spirits of Nature: Storm Giant, Lightning Witch, Henry Hail, Rainy Robin and Mother Frost…"
438631.0,165000000.0,433758183.0,155.0,7.789,10919.0,2021,9,"['Science Fiction', 'Adventure']","Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive."
835551.0,2500000.0,8866.0,80.0,5.739,94.0,2021,7,['Thriller'],A young girl struggles to survive after a group of home invaders break into her house to steal her family's priceless artwork.
925263.0,13266839.0,6551542.0,96.0,7.076,249.0,2023,4,['Comedy'],An old film director unhappy with the movie he's shooting about a Hungarian circus stranded in Rome during the 1956 anti-Soviet uprising faces divorce from his producer wife and other problems.
438148.0,85000000.0,940000000.0,87.0,7.343,3304.0,2022,6,"['Animation', 'Comedy', 'Family']","A fanboy of a supervillain supergroup known as the Vicious 6, Gru hatches a plan to become evil enough to join them, with the backup of his followers, the Minions."
818110.0,6500000.0,492000.0,125.0,6.516,92.0,2022,9,"['Adventure', 'Fantasy', 'Music', 'Family']","A seventeen year old travels from London to the Austrian Alps to attend the legendary Mozart boarding school. There, he discovers a centuries-old forgotten passageway into the fantastic world of Mozart's ""The Magic Flute""."
624860.0,190000000.0,156497322.0,147.0,6.442,5355.0,2021,12,"['Science Fiction', 'Action', 'Adventure']","Plagued by strange memories, Neo's life takes an unexpected turn when he finds himself back inside the Matrix."
866430.0,7.0,100.0,99.0,0.0,0.0,2021,8,['TV Movie'],"During a global pandemic, two friends come together to break the monotony and produce a quiz for their friends’ entertainment. Little do they know, that by creating this quiz they risk ending the world… or saving it. Watch as our heroes go through trials and tribulations, not only to inspire joy in the hearts of those around them, but all across the Pacific Ocean. On their journey they encounter a Presidential scandal, a Michael Moore conspiracy and an indigenous New Zealander."
467909.0,55000000.0,43000000.0,143.0,7.209,661.0,2021,6,"['Drama', 'Romance']","The story of Usnavi, a bodega owner who has mixed feelings about closing his store and retiring to the Dominican Republic or staying in Washington Heights."
1114112.0,15000.0,15000.0,60.0,6.0,2.0,2023,3,"['Comedy', 'Drama']","Without health insurance, Rick is left with only one option to live, hitting the streets and making money for his very needed surgery."
955659.0,4535077.0,5280000.0,73.0,8.2,9.0,2023,1,"['Family', 'Fantasy']","After their adventures in Ancient Egypt, Luì and Sofì just want to rest, but a new threat looms over the Earth. A magical spring hidden in the jungle holds the key to undoing all the world's spells, but if tainted, it can turn the Earth into a barren, lifeless wasteland. Viperiana has discovered this and with the help of her faithful Serpe servant has already started mixing enchanted potions in the spring that turn the water purple; it will only take a few days for everything to be irreversibly poisoned. A fight against time begins for Luì and Sofì who, together with Pongo's assistant and accompanied by the guide Serenino and Tara, daughter of the Pesantosi tribal chief, will have to decipher the map that will lead them to the magical spring and foil Viperiana's diabolical plan . But they have to be careful, because an unexpected enemy lurks among them."
466420.0,200000000.0,156922344.0,206.0,7.498,2652.0,2023,10,"['Crime', 'History', 'Drama']","When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one—until the FBI steps in to unravel the mystery."
766475.0,40000000.0,21921551.0,99.0,6.377,980.0,2022,9,"['Mystery', 'Comedy', 'Crime']","In the West End of 1950s London, plans for a movie version of a smash-hit play come to an abrupt halt after a pivotal member of the crew is murdered. When world-weary Inspector Stoppard and eager rookie Constable Stalker take on the case, the two find themselves thrown into a puzzling whodunit within the glamorously sordid theater underground, investigating the mysterious homicide at their own peril."
934433.0,35000000.0,169000000.0,123.0,7.07,2285.0,2023,3,"['Horror', 'Crime', 'Thriller']","Following the latest Ghostface killings, the four survivors leave Woodsboro behind and start a fresh chapter."
626735.0,20000000.0,84774243.0,101.0,7.335,1416.0,2022,2,"['Drama', 'Comedy']",An army ranger and his dog embark on a road trip along the Pacific Coast Highway to attend a friend's funeral.
