id,title,budget,release_date,revenue,runtime,vote_average,vote_count,popularity,genres,production_companies,overview,year,month
460465,Mortal Kombat,20000000,2021-04-07,84426031,110,7.052,5618,78.392,"['Action', 'Fantasy', 'Adventure']","[76907, 8000, 12]","Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe.",2021,4
597890,Voyagers,20000000,2021-04-08,4298184,108,5.984,798,32.459,"['Science Fiction', 'Thriller']","[148185, 3528]","With the future of the human race at stake, a group of young men and women -- bred for intelligence and obedience -- embark on an expedition to colonize a distant planet. When they uncover disturbing secrets about the mission, they defy their training and begin to explore their most primitive natures. As life on the ship descends into chaos, they soon become consumed by fear, lust and an insatiable hunger for power.",2021,4
664300,Shiva Baby,250000,2021-04-02,31014,78,7.207,552,15.799,"['Comedy', 'Drama']","[123193, 152014, 152015, 152012, 117621, 121140]","College student Danielle must cover her tracks when she unexpectedly runs into her sugar daddy at a shiva - with her parents, ex-girlfriend and family friends also in attendance.",2021,4
565470,Roe v. Wade,6750000,2021-04-02,23561,112,5.4,34,5.941,"['Drama', 'History']","[111792, 111793]",Dr. Bernard Nathanson and Dr. Mildred Jefferson square off in a national battle in this untold conspiracy that led to the most famous and controversial court case in history.,2021,4
624385,Ascendant,20000000,2021-04-08,318989,101,4.4,12,4.969,"['Mystery', 'Science Fiction', 'Thriller']",[148795],"A young environmentalist wakes, trapped, kidnapped in the elevator of a super high rise building at the mercy of her tormentors.",2021,4
497698,Black Widow,200000000,2021-07-07,379751131,134,7.26,9752,111.752,"['Action', 'Adventure', 'Science Fiction']",[420],"Natasha Romanoff, also known as Black Widow, confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises. Pursued by a force that will stop at nothing to bring her down, Natasha must deal with her history as a spy and the broken relationships left in her wake long before she became an Avenger.",2021,7
436969,The Suicide Squad,185000000,2021-07-28,168717425,132,7.529,8179,105.563,"['Action', 'Comedy', 'Adventure']","[128064, 507, 11565, 174]","Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",2021,7
459151,The Boss Baby: Family Business,82000000,2021-07-01,146745280,107,7.394,2430,79.618,"['Animation', 'Comedy', 'Adventure', 'Family']","[521, 33]",The Templeton brothers — Tim and his Boss Baby little bro Ted — have become adults and drifted away from each other. But a new boss baby with a cutting-edge approach and a can-do attitude is about to bring them together again … and inspire a new family business.,2021,7
379686,Space Jam: A New Legacy,150000000,2021-07-08,163700000,115,6.8,3863,64.57,"['Family', 'Animation', 'Comedy', 'Science Fiction']","[25120, 81170, 148495, 174]","When LeBron and his young son Dom are trapped in a digital space by a rogue A.I., LeBron must get them home safe by leading Bugs, Lola Bunny and the whole gang of notoriously undisciplined Looney Tunes to victory over the A.I.'s digitized champions on the court. It's Tunes versus Goons in the highest-stakes challenge of his life.",2021,7
451048,Jungle Cruise,200000000,2021-07-28,220889446,127,7.388,5453,61.402,"['Action', 'Adventure', 'Fantasy']","[2, 73669, 1302, 34081, 47586]","Dr. Lily Houghton enlists the aid of wisecracking skipper Frank Wolff to take her down the Amazon in his dilapidated boat. Together, they search for an ancient tree that holds the power to heal – a discovery that will change the future of medicine.",2021,7
631843,Old,18000000,2021-07-21,90146510,108,6.362,4164,49.977,"['Thriller', 'Mystery', 'Horror']","[33, 10338, 12236]",A group of families on a tropical holiday discover that the secluded beach where they are staying is somehow causing them to age rapidly – reducing their entire lives into a single day.,2021,7
568620,Snake Eyes: G.I. Joe Origins,88000000,2021-07-22,36964325,121,6.5,1470,46.588,"['Action', 'Adventure']","[4, 21, 435, 8147, 82819, 2598]","After saving the life of their heir apparent, tenacious loner Snake Eyes is welcomed into an ancient Japanese clan called the Arashikage where he is taught the ways of the ninja warrior. But, when secrets from his past are revealed, Snake Eyes' honor and allegiance will be tested – even if that means losing the trust of those closest to him.",2021,7
616651,Stillwater,20000000,2021-07-29,19754272,139,6.643,1142,41.071,"['Drama', 'Crime', 'Thriller']","[6735, 7, 154740, 10039, 123420, 38399]","Bill Baker, an American oil-rig roughneck from Oklahoma, travels to Marseille to visit his estranged daughter, Allison, who is in prison for a murder she claims she did not commit. Confronted with language barriers, cultural differences, and a complicated legal system, Bill builds a new life for himself in France as he makes it his personal mission to exonerate his daughter.",2021,7
574060,Gunpowder Milkshake,30000000,2021-07-14,1015760,114,6.35,932,35.517,"['Action', 'Crime', 'Thriller']","[264, 104, 10611, 99132, 47729, 106689]","To protect an 8-year-old girl, a dangerous assassin reunites with her mother and her lethal associates to take down a ruthless crime syndicate and its army of henchmen.",2021,7
585216,Escape Room: Tournament of Champions,15000000,2021-07-01,65800000,88,6.567,1889,32.648,"['Horror', 'Thriller', 'Mystery']","[333, 5, 41032]","Six people unwittingly find themselves locked in another series of escape rooms, slowly uncovering what they have in common to survive... and discovering they've all played the games before.",2021,7
559907,The Green Knight,15000000,2021-07-29,18887953,130,6.593,1738,30.039,"['Adventure', 'Drama', 'Fantasy']","[41077, 13240, 14634, 114130, 129815, 53152]","An epic fantasy adventure based on the timeless Arthurian legend, The Green Knight tells the story of Sir Gawain, King Arthur's reckless and headstrong nephew, who embarks on a daring quest to confront the eponymous Green Knight, a gigantic emerald-skinned stranger and tester of men.",2021,7
693113,Midnight in the Switchgrass,15000000,2021-07-23,229811,99,5.996,387,22.173,"['Crime', 'Mystery', 'Thriller', 'Action']","[125066, 121204, 10405, 1632, 85562, 37765]","FBI Agent Karl Helter and his partner Rebecca Lombardo are very close to busting a sex-trafficking ring. When they realize their investigation has crossed the path of a brutal serial killer, they team up with a FDLE agent to put an end to the infamous 'Truck Stop Killer'.",2021,7
607430,Nine Days,10000000,2021-07-15,969204,124,6.8,196,19.367,"['Drama', 'Fantasy']","[119377, 551, 212771, 79426, 103292, 168256, 161257, 104363, 113637, 90790]",A bureaucrat interviews five souls to decide which of them will be given a life on Earth. But he soon faces an existential challenge of his own.,2021,7
835551,Masquerade,2500000,2021-07-30,8866,80,5.7,94,13.706,['Thriller'],"[155183, 12142, 118155]",A young girl struggles to survive after a group of home invaders break into her house to steal her family's priceless artwork.,2021,7
481879,Die in a Gunfight,4000000,2021-07-01,31395,92,5.5,121,12.695,"['Action', 'Comedy', 'Romance']","[144803, 76629, 1632]","Mary and Ben are the star-crossed black sheep of two powerful families engaged in a centuries-long feud. When the pair reignite a romance after many years apart, their forbidden love draws a motley assortment of schemers and killers into their orbit, and as fists and bullets fly, it becomes clear that violent delights will have violent ends.",2021,7
340102,The New Mutants,67000000,2020-04-02,49169594,94,6.1,3254,69.91,"['Science Fiction', 'Horror', 'Action', 'Mystery', 'Adventure']","[127928, 28788, 5219, 7505]","Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.",2020,4
550231,The Secret: Dare to Dream,21000000,2020-04-16,3215636,107,7.284,565,20.337,"['Drama', 'Romance']","[100460, 73666, 911, 135943, 99962, 135953, 135954]","A widow with three children hires a handyman to fix her house during a major storm. When not doing home repairs, he shares his philosophy of believing in the power of the universe to deliver what we want.",2020,4
502356,The Super Mario Bros. Movie,100000000,2023-04-05,1362000000,93,7.679,8323,264.319,"['Animation', 'Family', 'Adventure', 'Fantasy', 'Comedy']","[33, 6704, 12288]","While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",2023,4
1016121,Beautiful Disaster,25000000,2023-04-04,6900000,96,6.7,623,122.763,"['Romance', 'Drama', 'Comedy']","[6626, 107108]","Bad-boy Travis is exactly what college freshman Abby needs and wants to avoid. He spends his nights fighting in underground boxing matches, and his days as the ultimate college campus charmer. But Abby wants nothing to do with Travis. Intrigued by Abby’s resistance, Travis offers her a simple bet: if he loses his next fight, he must remain sex-free for a month. If he wins, Abby must live in his apartment for the same amount of time. Either way, Travis has no idea that Abby’s dark past is about to emerge, and he may have finally met his match.",2023,4
713704,Evil Dead Rise,15000000,2023-04-12,146700000,96,6.959,2768,100.174,"['Horror', 'Thriller']","[174, 12, 7893, 467, 768, 129815]","A reunion between two estranged sisters gets cut short by the rise of flesh-possessing demons, thrusting them into a primal battle for survival as they face the most nightmarish version of family imaginable.",2023,4
758323,The Pope's Exorcist,18000000,2023-04-05,76987621,103,7.0,2473,88.558,"['Horror', 'Thriller']","[3287, 84792, 177896]","Father Gabriele Amorth, Chief Exorcist of the Vatican, investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the Vatican has desperately tried to keep hidden.",2023,4
